WORNLW,93
IKRUTW,47
ADWGTC,37
CYBWTX,56
ZBOGZL,46
LVUYQE,58
AQBFSP,45
LTTVKS,98
QZENXS,100
LMHLCR,25
BTCPZK,0
HZICHM,61
JNLRLL,0
QRGLNP,70
TSSMMO,19
ECDLKA,96
NIMMRE,77
ASSZEM,18
YYOWDY,35
VJUMDY,82
FEAMIL,46
IDFPEQ,29
BQXZZR,80
JHRCTH,55
TMYDQF,77
DKWGDT,9
MKRYVJ,61
URPBJJ,91
NMNDYH,58
DZZWTA,63
MQPRYD,51
FMZHHD,48
JSEVUQ,99
PYFNVI,51
JMYLKU,86
MIQWXD,48
TCEHDW,51
HAKEBD,94
MGMHCU,23
MGHJMF,100
QRVMSF,48
TUQUKX,55
AJOZMF,96
BHRHWW,63
MDXMVX,56
NTMERK,19
ILCQGQ,25
ZFCUIN,69
DVZUCM,38
VRDIEZ,39
TRGTMI,23
XYEHZM,29
AEAFTF,58
DUZPMH,58
IBDGIO,45
ZSQTXF,6
NYLUDW,22
YGFGIH,39
ULKIRW,87
YQBSTA,38
VRCKKV,63
GZNZFR,62
BXEBRV,40
MOISEE,94
ZPMSHL,31
MUGYBH,81
LSHRGI,40
AZRUGG,50
QYSNQY,14
KQHDBD,1
ZQCBQY,56
UVQDJL,23
IIYPYY,80
JHTXOL,4
DSBLKP,65
SSYIRD,48
EXSZXO,80
OVENQB,74
TKDFUM,36
AIYEKX,63
LUUCDM,68
SHTNAD,27
KSRDJP,43
QPZGSO,28
NCBACL,36
TYUZNZ,63
XTOPAM,85
ISRURK,21
YYTOMF,2
FBXGWT,7
FBASSX,62
EAADYR,27
UAYVMF,91
WNUDAP,45
DLTHAD,68
JXJIBS,48
KEWZZI,48
ZEFTAF,62
LEHABW,97
FOEKCY,63
